ID_SCUOLA;CODICE_SCUOLA;DENOMINAZIONE;TIPO_SCUOLA;ENTE;REGIONE;PROVINCIA;COMUNE;CAP;INDIRIZZO;TELEFONO;LIVELLO_FUNZIONALE;CODICE_SCUOLA_RIFERIMENTO;TIPOLOGIA;TIPOLOGIA_SEDE;PARITA;CODICE_ISTAT;
1947;FGTD06050E;VITTORIO EMANUELE III -SERALE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;LUCERA;71036;VIA DANTE 6;0881 941116;CORSO SERALE;FGTD060005;SS;;;071028;
1938;FGTD190507;G. ROSATI -SERALE;ISTITUTO TECNICO COMMERCIALE E PER GEOMETRI;Statale;PUGLIA;FOGGIA;FOGGIA;71100;VIA NAPOLI, 101;;CORSO SERALE;FGTD19000T;SS;;;071024;
12298;FGTF01050Q;DA VINCI (CORSO SERALE);ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;FOGGIA;FOGGIA;;VIA G. IMPERIALE, 43;;CORSO SERALE;FGTF01000A;;;;071024;
1961;FGTF01650P;I.T.I.S. A. MINUZIANO (CORSO SERALE);ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;FOGGIA;SAN SEVERO;71016;VIA APRICENA;;CORSO SERALE;FGTF01601A;SS;;;071051;
1971;FGTF01751G;E.FERMI (CORSO SERALE);ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;FOGGIA;MANFREDONIA;71043;VIA D.FIORITTO 19;;CORSO SERALE;FGTF017016;SS;;;071029;
1963;FGTF02050A;SAVERIO ALTAMURA -SERALE;ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;FOGGIA;FOGGIA;71100;VIA GEN. ROTUNDI, 4;0881 720283;CORSO SERALE;FGTF020001;SS;;;071024;
1965;FGTF030512;LUIGI DI MAGGIO (CORSO SERALE);ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;FOGGIA;SAN GIOVANNI ROTONDO;71013;CORSO ROMA108;0882 456519;CORSO SERALE;FGTF03000G;SS;;;071046;
1967;FGTF048517;AUGUSTO RIGHI (CORSO SERALE);ISTITUTO TECNICO INDUSTRIALE;Statale;PUGLIA;FOGGIA;CERIGNOLA;71042;VIA XXV APRILE;0885 420344;CORSO SERALE;FGTF04801T;SS;;;071020;
1974;FGTL01001G;I.T.G  MASI  CASA CIRCONDARIALE;ISTITUTO TECNICO PER GEOMETRI;Statale;PUGLIA;FOGGIA;FOGGIA;71100;;;;FGTL01000E;SS;;;071024;
1975;FGTL010511;IST. TECNICO PER GEOMETRI MASI (CORSO SERALE);ISTITUTO TECNICO PER GEOMETRI;Statale;PUGLIA;FOGGIA;FOGGIA;71100;VIA STRAMPELLI, 2;0881 635018;CORSO SERALE;FGTL01000E;SS;;;071024;
