ID_DIPLOMA;DESCRIZIONE;TIPO_SCUOLA;CODICE_TIPO_SCUOLA;
16;TECNICO INDUSTRIE MECCANICHE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
18;TECNICO DELLE INDUSTRIE ELETTRICHE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
21;TECNICO DEI SISTEMI ENERGETICI;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
31;TECNICO DI LIUTERIA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
38;TECNICO DEI PROCESSI CERAMICI;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
41;TECNICO DEL MARMO;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
42;TECNICO DELLA PROD. DELL'IMMAGINE FOTOGRAFICA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
43;TECNICO DELL'ARTE BIANCA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
55;TECNICO DELL'INDUSTRIA AUDIOVISIVA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
56;TECNICO DELL'INDUSTRIA ORAFA;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
116;TECNICO DELLE INDUSTRIE ELETTRONICHE;ISTITUTO PROFESSIONALE INDUSTRIA E ARTIGIANATO;RI;
40;TECNICO DEL MARE;ISTITUTO PROFESSIONALE INDUSTRIA E ATTIVITA' MARINARE;RM;
9997;Diploma Scuola Regionale;Scuola Regionale;RR;
58;TECNICO DELL'EDILIZIA;ISTITUTO PROFESSIONALE PER L'INDUSTRIA EDILE;RT;
17;TECNICO CINEMATOGRAFIA E TELEVISIONE;ISTITUTO PROFESSIONALE CINEMATOGRAFIA E TELEVISIONE;RV;
22;ARTE APPL. - SEZ. GRAFICA PUBBL. E FOTOGRAFIA;ISTITUTO D'ARTE;SD;
23;ARTE APPL. - SEZ. ARTE DELLA CERAMICA;ISTITUTO D'ARTE;SD;
24;ARTE APPL. - SEZ. DECORAZIONE PITTORICA;ISTITUTO D'ARTE;SD;
25;ARTE APPL. - SEZ. SCENOTECNICA;ISTITUTO D'ARTE;SD;
26;ARTE APPL. - SEZ. DISEGNATORI DI ARCHITETTURA;ISTITUTO D'ARTE;SD;
27;ARTE APPL. - SEZ. DISEGNO ANIMATO;ISTITUTO D'ARTE;SD;
28;ARTE APPL. - SEZ. ARTE DELLA STAMPA;ISTITUTO D'ARTE;SD;
29;ARTE APPL. - SEZ. ARTI GRAFICHE;ISTITUTO D'ARTE;SD;
30;ARTE APPL. - SEZ. ARTE DEI METALLI E OREFICERIA;ISTITUTO D'ARTE;SD;
32;ARTE APPL. - SEZ. DECORAZIONE PLASTICA;ISTITUTO D'ARTE;SD;
33;ARTE APPL. - SEZ. MODA E COSTUME;ISTITUTO D'ARTE;SD;
34;ARTE APPL. - SEZ. ARTE DEL LEGNO;ISTITUTO D'ARTE;SD;
35;ARTE APPL. - SEZ. ARTE DELL'ALABASTRO;ISTITUTO D'ARTE;SD;
36;ARTE APPL. - SEZ. ARTE DEL TESSUTO;ISTITUTO D'ARTE;SD;
37;ARTE APPL. - SEZ. ARTE DEL VETRO E CRISTALLO;ISTITUTO D'ARTE;SD;
39;ARTE APPL. - SEZ. ARTE GRAFICA PUBBLICITARIA;ISTITUTO D'ARTE;SD;
62;ARTE APPL. - SEZ. ARTE DEL VETRO;ISTITUTO D'ARTE;SD;
70;ARTE APPL. - SEZ. FOTOGRAFIA ARTISTICA;ISTITUTO D'ARTE;SD;
71;ARTE APPL. - SEZ. DECORAZ. PLASTICA E ARREDO CHIESA;ISTITUTO D'ARTE;SD;
77;ARTE APPL. - SEZ. DECORAZ. PITTORICA E ARREDO CHIESA;ISTITUTO D'ARTE;SD;
79;ARTE APPL. - SEZ. DISEGNAT. ARCHIT. E ARREDO CHIESA;ISTITUTO D'ARTE;SD;
80;ARTE APPL. - SEZ. ARTE MET.,OREFIC. E ARREDO CHIESA;ISTITUTO D'ARTE;SD;
81;ARTE APPL. - SEZ. ARTE TESSUTO DECOR. E ARREDO CHIESA;ISTITUTO D'ARTE;SD;
83;ARTE APPL. - SEZ. ARTE PUBBLICITARIA;ISTITUTO D'ARTE;SD;
89;ARTE APPL. - SEZ. ARREDAMENTO;ISTITUTO D'ARTE;SD;
103;ARTE APPL. - SEZ. ARTE DELLE PIETRE DURE;ISTITUTO D'ARTE;SD;
104;ARTE APPL. - SEZ. DISEGNAT. DI ARCHIT. E ARRED.;ISTITUTO D'ARTE;SD;
