ID_UNIVERSITA;NOME;STATALE;VIA;CAP;COD_COMUNE;COMUNE;PROVINCIA;COD_TIPO_STRUTTURA_ATENEO;NOTA;ANNO_INTRODUZIONE;
W10;Istituto Superiore di Educazione Fisica (generico);Statale;;;999999;COMUNE NON FORNITO;99;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W7;Istituto Superiore di Educazione Fisica pareggiato di Perugia;Statale;;;054039;PERUGIA;PG;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W5;Istituto Superiore di Educazione Fisica pareggiato di Napoli;Statale;;;063049;NAPOLI;NA;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W9;Istituto Superiore di Educazione Fisica pareggiato di Urbino;Statale;;;041067;URBINO;PU;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W2;Istituto Superiore di Educazione Fisica pareggiato dell'Aquila;Statale;;;066049;L'AQUILA;AQ;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W1;Istituto Superiore di Educazione Fisica pareggiato di Firenze;Statale;;;048017;FIRENZE;FI;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W0;Istituto Superiore di Educazione Fisica pareggiato di Bologna;Statale;;;037006;BOLOGNA;BO;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W3;Istituto Superiore di Educazione Fisica pareggiato di Milano;Statale;;;015146;MILANO;MI;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W6;Istituto Superiore di Educazione Fisica pareggiato di Palermo;Statale;;;082053;PALERMO;PA;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W8;Istituto Superiore di Educazione Fisica pareggiato di Torino;Statale;;;001272;TORINO;TO;EDFIS;Ante D.L. 08/05/1998 n. 178;;
W4;Istituto Superiore di Educazione Fisica pareggiato della Lombardia;Statale;;;015146;MILANO;MI;EDFIS;Ante D.L. 08/05/1998 n. 178;;
S2;SUM - Istituto Italiano di SCIENZE UMANE di FIRENZE;Statale;Piazza degli Strozzi - Palazzo Strozzi;50123;048017;FIRENZE;FI;UNIV;;;
S1;Scuola IMT - Istituzioni, Mercati, Tecnologie - Alti Studi - LUCCA;Statale;Via San Michelotto, 3;55100;046017;LUCCA;LU;UNIV;;;
S0;I.U.S.S. - Istituto Universitario di Studi Superiori - PAVIA;Statale;Palazzo del Broletto – P.zza della Vittoria;27100;018110;PAVIA;PV;UNIV;;;
H1;HUMANITAS University;Non Statale;Via A. Manzoni, 113;20089;015189;ROZZANO;MI;UNIV;;;
