COD;DES
12900367;LABORATORIO SCRITTURA DIGITALE
12900368;LABORATORIO BILANCIO DELLE COMPETENZE  II
12900369;LABORATORIO
12900370;GESTIONE DELLE RISORSE UMANE
12900371;IGIENE SCOLASTICA
12900372;METODI DELLA RICERCA QUALITATIVA IN EDUCAZIONE
12900373;TIROCINIO LAVORATIVO CONVALIDATO
12900374;ABILITA' RELAZIONALI
12900375;PSICOLOGIA DEL LAVORO E DELLE ORGANIZZAZIONI
12900376;LABORATORIO SOCIOLOGIA DELLE COMUNITA' LOCALI
12900377;STORIA DELLA SCUOLA
12900378;STORIA DELLA LETTERATURA DELL'INFANZIA
12900379;LABORATORIO LINGUA SPAGNOLA I
12900380;COMUNICAZIONE DI RETE PER L'APPRENDIMENTO
12900381;PROGRAMMAZIONE E VALUTAZIONE DELLA FORMAZIONE CONTINUA DEGLI ADULTI
12900382;PEDAGOGIA SPERIMENTALE: ISTRUZIONE A DISTANZA
12900383;LABORATORIO METODOLOGIA E TECNICA DEL LAVORO DI GRUPPO II
12900384;STORIA SOCIALE
12900385;LETTERATURA ITALIANA CONTEMPORANEA
12900386;PEDAGOGIA DEL LAVORO
12900387;LABORATORIO LINGUA SPAGNOLA II
12900388;LABORATORIO DI LINGUA E TRADUZIONE DELLO SPAGNOLO UTILIZZATO NEL CAMPO DELLA FORMAZIONE
12900389;LABORATORIO UNIONE EUROPEA E FONDI STRUTTURALI II
12900390;LABORATORIO EDUCAZIONE PERMANENTE E FORMAZIONE CONTINUA
12900391;ABILITA' INFORMATICHE II
12900392;LABORATORIO FORMAZIONE DELLA PUBBLICA AMMINISTRAZIONE
12900393;PSICOLOGIA DELLA FORMAZIONE
12900394;INFORMATICA
12900395;LABORATORIO LINGUA E TRADUZIONE DELLO SPAGNOLO
12900396;SOCIOLOGIA GIURIDICA DELLA DEVIANZA E MUTAMENTO SOCIALE
12900397;ARCHIVISTICA, BIBLIOGRAFIA E BIBLIOTECONOMIA
12900398;DIRITTO DEL LAVORO NELLE PUBBLICHE AMMINISTRAZIONI
12900399;STORIA CONTEMPORANEA (UN MODULO)
12900400;ORIENTAMENTO E FORMAZIONE PER L'ECO-AMBIENTE
12900401;LINGUA E TRADUZIONE LINGUA FRANCESE
12900402;LINGUA E TRADUZIONE LINGUA SPAGNOLA I (TPT)
12900403;LINGUA E TRADUZIONE LINGUA INGLESE
12900404;LINGUA E TRADUZIONE LINGUA TEDESCA
12900405;LABORATORIO PSICOLOGIA DEI GRUPPI
12900406;LABORATORIO PEDAGOGIA TEATRALE ED ECONOMIA DELL'APPRENDIMENTO
12900407;LINGUA E TRADUZIONE FRANCESE
12900408;LABORATORIO LINGUA E TRADUZIONE DELL'INGLESE UTILIZZATO NEL CAMPO DELLA FORMAZIONE
12900409;SEMIOTICA I
12900410;SEMIOTICA II
12900411;LABORATORIO DI STORIA DELLE RELIGIONI
12900412;SCIENZA POLITICA
12900413;LABORATORIO DI PERCORSI DELLA FORMAZIONE ALLO SVILUPPO LOCALE
12900414;SOCIOLOGIA DELL'AMBIENTE E DEL TERRITORIO
12900415;PEDAGOGIA DELLA COMUNICAZIONE E DELL'ORIENTAMENTO
12900416;PEDAGOGIA DELLE RISORSE UMANE E DELLE ORGANIZZAZIONI
12900417;DIRITTO PRIVATO
12900418;ORGANIZZAZIONE DELLO STATO E DEGLI ENTI PUBBLICI
12900419;DIRITTO PRIVATO COMPARATO
12900420;ECONOMIA APPLICATA
12900421;ORGANIZZAZIONE AZIENDALE
12900422;STORIA DELLA MEDICINA (1° SEMESTRE)
12900423;STORIA DELLA MEDICINA (2° SEMESTRE)
12900424;PSICOLOGIA CLINICA II
12900425;LABORATORIO PEDAGOGIA DEL LAVORO II
12900426;LABORATORIO APPRENDIMENTO ORGANIZZATIVO II
12900427;LABORATORIO DIFFICOLTA' DELL'APPRENDIMENTO SCOLASTICO IN ETA' EVOLUT.
12900428;LINGUA FRANCESE II
12900429;PROVA FINALE
12900430;SOCIOLOGIA DELLE ORGANIZZAZIONI PUBBLICHE E DEI SERVIZI
12900431;SOCIOLOGIA DEI FENOMENI POLITICI
12900432;LABORATORIO METODOLOGIA PER LA FORMAZIONE PROFESSIONALE 2 SEM.
12900433;TECNICHE DELLA FORMAZIONE A DISTANZA II
12900434;LABORATORIO PER LA COMPRENSIONE DEL LINGUAGGIO SCRITTO
12900435;TEORIE E TECNICHE DELLA MEDIAZIONE CULTURALE (II° SEMESTRE)
12900436;FILOSOFIA DELLA DIFFERENZA II SEM.
12900437;PEDAGOGIA DELLA COMUNICAZIONE (II° SEMESTRE)
12900438;PEDAGOGIA DELLE NEUROSCIENZE II
12900439;LABORATORIO LINGUA FRANCESE II
12900440;CONVALIDA CORSO PERFEZIONAMENTO
12900441;CONVALIDA MASTER
12900442;CONVALIDA II TITOLO (DAI)
12900443;PSICOLOGIA DELLO SVILUPPO SOCIO-AFFETTIVO
12900444;LABORATORIO MULTIMEDIALE II
12900445;ATTIVITA' PREGRESSE RICONOSCIUTE SECONDO DECRETO RETTORALE N. 877 DEL 30/04/2004
12900446;SEMINARIO DI ETICA E DEONTOLOGIA DELLA COMUNICAZIONE
12900447;ETICA E DEONTOLOGIA DELLA COMUNICAZIONE
12900448;ETICA E DEONTOLOGIA DELLA COMUNICAZIONE + SEMINARIO
12900449;STORIA DEL TEATRO ORIENTALE
12900450;LINGUA ITALIANA
12900451;LABORATORIO DI DIDATTICA MUSEALE ED EDUCAZIONE DEGLI ADULTI
12900452;SEMINARIO DI DIRITTO REGIONALE E DEGLI ENTI LOCALI
12900453;STORIA DELLA FILOSOFIA ANTICA II SEM.
12900454;LABORATORIO AFFERENZA ALLE FONTI PER L'ORIENTAMENTO
12900455;LABORATORIO DI PEDAGOGIA INTERCULTURALE II° SEM
12900456;LINGUISTICA GENERALE II° SEM
12900457;PROGETTAZIONE E PRODUZIONE PER LA DIDATTICA I° SEM
12900458;PSICOLOGIA DEL LAVORO
12900459;ORGANIZZAZIONE POLITICA E PROGETTUALE DELLE ISTITUZIONI I° SEM
12900460;LABORATORIO PEDAGOGIA SOCIALE
12900461;PEDAGOGIA DELLA MARGINALITA' E DEVIANZA MINORILE III° SEM
12900462;INDIVIDUALIZZAZIONE E PERSONALIZZAZIONE DEI PERCORSI DELLA FORMAZ. CONTINUA (LABORATORIO)
12900463;ETICA E DEONTOLOGIA DELLA COMUNICAZIONE I° SEM
12900464;LABORATORIO DI SOCIOLOGIA
12900465;PSICOLOGIA DELL'EDUCAZIONE E DELL'ORIENTAMENTO
12900466;SOCIOLOGIA DELLA CONOSCENZA
12900467;ATTIVITA' DI GRUPPO E SEMINARI II
12900468;ATTIVITA' EDUCATIVE II
12900469;LABORATORIO ORALITA' E SCRITTURA DELL'EDUCAZIONE OCCIDENTALE
12900470;LABORATORIO PROG. FORM. RISORSE EUROPEE IN AMBITO INTERCULT. E SOCIO-EDUCAT.
12900471;STATISTICA
12900472;LABORATORIO LINGUA INGLESE
12900473;SOCIOLOGIA DELL'ORGANIZZAZIONE
12900474;COMUNICAZIONE AUDIOVISIVA E PROMOZIONE UMANA
12900475;INFORMAZIONE E OPINIONE PUBBLICA
12900476;PSICOLOGIA DELLE COMUNICAZIONI SOCIALI
12900477;ATTIVITA' DI GRUPPO E SEMINARI III
12900478;ATTIVITA' DI GRUPPO E SEMINARI IV
12900479;TECNICHE EDUCATIVE III
12900480;TECNICHE EDUCATIVE IV
12900481;NEUROPSICHIATRIA E PSICOPATOLOGIA DELL'ETA' EVOLUTIVA III
12900482;NEUROPSICHIATRIA E PSICOPATOLOGIA DELL'ETA' EVOLUTIVA IV
12900483;SOCIOLOGIA DELLE MIGRAZIONI II
12900484;FORMAZIONE PERMANENTE
12900485;INTERVENTO SOCIOEDUCATIVO NELLA DEVIANZA I
12900486;SOCIOLOGIA E ANTROPOLOGIA SOCIALE
12900487;TEORIE E ISTITUZIONI CONTEMPORANEE DELL'EDUCAZIONE
12900488;NUOVE TECNOLOGIE NELL'EDUCAZIONE
12900489;METODOLOGIA DELLA RICERCA SOCIOEDUCATIVA
12900490;TEORIA DELL'EDUCAZIONE
12900491;EDUCAZIONE POPOLARE E MOVIMENTI SOCIALI CONTEMPORANEI
12900492;STORIA DELL'EDUCAZIONE IN GALIZIA
12900493;ANALISI E SVILUPPO DEI PERCORSI FORMATIVI
12900494;FORMAZIONE E INSERIMENTO NEL MONDO DEL LAVORO
12900495;STORIA DELL'EDUCAZIONE SOCIALE
12900496;TECNICHE PER L'APPRENDIMENTO IN COOPERAZIONE
12900497;TEORIE E TECNICHE DELLA CREATIVITA'
12900498;PIANIFICAZIONE EDUCATIVA DELLA NORMALIZZAZIONE LINGUISTICA
12900499;INTERVENTO SOCIOEDUCATIVO ALLA DEVIANZA II
12900500;ORGANIZZAZIONI EDUCATIVE
12900501;PROGRAMMI DI ANIMAZIONE SOCIOCULTURALE
12900502;METODI QUALITATIVI NELLA RICERCA EDUCATIVA
12900503;ORGANIZZAZIONE E GESTIONE DI ISTITUZIONI SOCIOEDUCATIVE
12900504;ORIENTAMENTO PROFESSIONALE E AL MONDO DEL LAVORO
12900505;TECNICHE PEDAGOGICHE DI AZIONE DI GRUPPO
12900506;INTERVENTO EDUCATIVO GIOVANILE
12900507;INTERVENTO EDUCATIVO INFANTILE
12900508;INTERVENTO EDUCATIVO NELLA TERZA ETA'
12900509;PEDAGOGIA DELLO SVAGO E DEL TEMPO LIBERO
12900510;DIFFICOLTA' NEL LINGUAGGIO NEGLI ADULTI
12900511;INTERVENTO EDUCATIVO NELL'EMARGINAZIONE E NELLE MINORANZE
12900512;PROGRAMMI EDUCATIVI NEI SERVIZI SOCIALI
12900513;DIDATTICA NELL'EDUCAZIONE DEGLI ADULTI
12900514;FORMAZIONE A DISTANZA DEGLI ADULTI
12900515;INTERVENTO EDUCATIVO CON PORTATORI DI HANDICAP
12900516;LAVORO EDUCATIVO NELLA DEVIANZA MINORILE
12900517;MISURA NELL'EDUCAZIONE
12900518;INTERVENTO SOCIOEDUCATIVO NELL'AMMINISTRAZIONE LOCALE
12900519;VALUTAZIONE DEL SISTEMA EDUCATIVO
12900520;ECONOMIA DELL'EDUCAZIONE
12900521;FORMAZIONE E SVILUPPO PROFESSIONALE DEI DOCENTI
12900522;VALUTAZIONE DI PROGRAMMI, CENTRI E DOCENTI
12900523;VALUTAZIONE DELL'APPRENDIMENTO
12900524;INTERVENTO PEDAGOGICO NEI PROBLEMI DELL'APPRENDIMENTO SCOLASTICO
12900525;ORIENTAMENTO EDUCATIVO
12900526;GESTIONE E SVILUPPO ISTITUZIONALE DEI CENTRI EDUCATIVI
12900527;TECNICHE DI EDUCAZIONE DI GRUPPO
12900528;PEDAGOGIA NEL LAVORO SOCIALE
12900529;FORMAZIONE E RISORSE UMANE NELLE ORGANIZZAZIONI SOCIALI E LAVORATIVE
12900530;STRATEGIE DI FORMAZIONE E ORIENTAMENTO AL LAVORO
12900531;LINGUA GRECO CLASSICA
12900532;LINGUA EBRAICA
12900533;LINGUA GRECO BIBLICA
12900534;PSICOPEDAGOGIA DEL LINGUAGGIO I
12900535;PSICOPEDAGOGIA DEL LINGUAGGIO II
12900536;FONDAMENTI DI LINGUISTICA I
12900537;FONDAMENTI DI LINGUISTICA II
12900538;METODI SPERIMENTALI NEL LINGUAGGIO E NELLA RICERCA LINGUISTICA I
12900539;METODI SPERIMENTALI NEL LINGUAGGIO E NELLA RICERCA LINGUISTICA II
12900540;NEUROLINGUISTICA I
12900541;NEUROLINGUISTICA II
12900542;COMUNICAZIONE AUDIOVISIVA E PROMOZIONE UMANA II
12900543;SOCIOLOGIA DELLE COMUNITA' LOCALI + LAB
12900544;SEMINARIO: SOCIOLOGIA DELLE COMUNITA' LOCALI
12900545;LABORATORIO ANTROPOLOGIA SOCIALE
12900546;GEOGRAFIA DELLE LINGUE
12900547;LABORATORIO EDUCAZIONE COMPARATA
12900548;LABORATORIO INFORMATICA
12900549;LABORATORIO INFORMAZ. E PROCESSI DECISIONALI PER L'ORIENTAMENTO II
12900550;SEMINARIO BIOETICA
12900551;SEMINARIO ETICA SOCIALE
12900552;SEMINARIO: DIRITTO COSTITUZIONALE
12900553;SEMINARIO FILOSOFIA DELL'EDUCAZIONE
12900554;SEMINARIO PEDAGOGIA SOCIALE
12900555;SEMINARIO STORIA DELLA FILOSOFIA
12900556;LEGISLAZIONE E ORGANIZZAZIONE DEI SERVIZI SOCIALI II
12900557;LABORATORIO METOD. EDUC. MUSICALE
12900558;FILOSOFIA DELL'EDUCAZIONE + LABORATORIO
12900559;AUXOLOGIA
12900560;LABORATORIO PSICOLOGIA CLINICA II
12900561;ABILITA' RELAZIONALI II
12900562;IDONEITA' DI LINGUA INGLESE
12900563;IDONEITA' DI LINGUA FRANCESE
12900564;DIRITTO DELL'ANTICO ORIENTE MEDITERRANEO
12900565;DIRITTO PENALE AMMINISTRATIVO
12900566;SEMINARIO DI ETICA E DEONTOLOGIA DELLA COMUNICAZIONE
12900567;LABORATORIO STORIA CONTEMPORANEA
12900568;LABORATORIO CLINICA DELLA FORMAZIONE
12900569;SOCIOLOGIA DELLE COMUNITA' LOCALI + SEMINARIO
12900570;IDONEITA' DI LINGUA PORTOGHESE
12900571;LABORATORIO ALFAMEDIALE II
12900572;SOCIOLOGIA DEI PROCESSI CULTURALI (MODULO)
12900573;DIDATTICA E PEDAGOGIA SPECIALE II
12900574;EDUCAZIONE COMPARATA II
12900575;SOCIOLINGUISTICA II
12900576;SEMINARIO: VIOLENZA DI GENERE
12900577;ANALISI DEL FILM (I SEMESTRE)
12900578;ANALISI DEL FILM (II SEMESTRE)
12900579;LABORATORIO ATTIVITA' DI TUTORATO
12900580;LABORATORIO PEDAGOGIA MONTESSORIANA
12900581;SEMINARIO: DI PSICOLOGIA DEI GRUPPI
12900582;SEMINARIO: ISTITUZIONI DI DIRITTO PUBBLICO E LEGISLAZIONE SCOLASTICA
12900583;LINEAMENTI ANATOMO-FISIOLOGICI E FISIOPATOLOGICI
12900584;ANTROPOLOGIA SOCIALE II
12900585;STORIA MODERNA II
12900586;PSICOPATOLOGIA GENERALE  II
12900587;SEMIOLOGIA DEL CINEMA E DEGLI AUDIOVISIVI II
12900588;STORIA DEL PENSIERO SCIENTIFICO
12900589;POLITICA SOCIALE
12900590;EDUCAZIONE PSICOMOTORIA II
12900591;PEDAGOGIA
12900592;LABORATORIO METODOLOGIA EDUCAZIONE MUSICALE 2
12900593;STORIA MEDIOEVALE 2
12900594;PSICOLOGIA DEGLI ATTEGGIAMENTI
12900595;LABORATORIO STORIA DELLA PSICOLOGIA
12900596;PSICOLOGIA GENERALE III
12900597;LABORATORIO PEDAGOGIA PENITENZIARIA II
12900598;SOCIOLOGIA DEI PAESI IN VIA DI SVILUPPO II SEM
12900599;DIRITTO COMUNITARIO
12900600;DOCIMOLOGIA II SEM
12900601;LABORATORIO APPLICAZIONI PEDAGOGIA MONTESSORIANA ALLO SVILUPPO DELLE RISORSE UMANE
12900602;METODOLOGIA DELLA RICERCA STORICO EDUCATIVA II SEM
12900603;PEDAGOGIA SPERIMENTALE NATURA CULTURA ED EDUCAZIONE
12900604;PSICOLOGIA DELLE ORGANIZZAZIONI
12900605;LABORATORIO DI TEORIA E TECNICHE DELLA DINAMICA DI GRUPPO I
12900606;LABORATORIO DI TEORIA E TECNICHE DELLA DINAMICA DI GRUPPO II
12900607;LABORATORIO PEDAGOGIA SPERIMENTALE NATURA, CULTURA ED EDUCAZIONE
12900608;SEMINARIO DI PEDAGOGIA GENERALE
12900609;LINGUA E GRAMMATICA ITALIANA
12900610;LAB.DIFFICOLTA' DI APPRENDIMENTO A SCUOLA
12900611;METODI E DIDATTICHE ATTIVITA' MOTORIE E SPORTIVE
12900612;TEATRO CORPOREO E DI PAROLA
12900613;LABORATORIO LA CASETTA DEGLI GNOMI
12900614;LABORATORIO DI LETTURA E SCRITTURA
12900615;TEOLOGIA
12900616;TEOLOGIA II DOGMATICA
12900617;LABORATORIO PROFESSIONE NELL'AREA DEL SOCIALE
12900618;TECNICHE ESPRESSIVE EDUCAZIONE ALL'IMMAGINE
12900619;PSICOLOGIA DELLO SVILUPPO + LABORATORIO
12900620;PSICOLOGIA DELL'EDUCAZIONE E DELLA FORMAZIONE II
12900621;LABORATORIO DI ECOLOGIA
12900622;LABORATORIO DI DIDATTICA SPECIALE
12900623;LABORATORIO DI PERCEZIONE E COMUNICAZIONE VISIVA
12900624;LABORATORIO DI STORIA DELLA PEDAGOGIA E DELL'EDUCAZIONE
12900625;PSICOLOGIA DELLO SVILUPPO E DELL'EDUCAZIONE
12900626;LINGUISTICA GENERALE II SEM
12900627;ETICA E DEONTOLOGIA DELLA COMUNICAZIONE II SEM
12900628;FORMAZIONE E POLITICHE DELLE RISORSE UMANE II SEM
12900629;DIDATTICA MULTIMEDIALE II SEM
12900630;LABORATORIO DI PSICOLOGIA DELLO SVILUPPO
12900631;LABORATORIO ANALISI DELL'INFORMAZIONE ORIENTATIVA
12900632;PEDAGOGIA DEL LINGUAGGIO E DELLA COMUNICAZIONE
12900633;LABORATORIO DI LETTURA E ANALISI DEI CLASSICI DELLA PEDAGOGIA II° SEM
12900634;LABORATORIO DI METODOLOGIA E TECNICA DEL GIOCO E DELL'ANIMAZIONE II SEM
12900635;SEMINARIO DI STORIA DELLA FILOSOFIA ANTICA II
12900636;SEMINARIO DI FILOSOFIA DELL'EDUCAZIONE II
12900637;LABORATORIO TECNICHE DI OSSERVAZIONE DEL COMPORTAMENTO INFANTILE
12900638;LABORATORIO LINGUA CULTURA E COMUNICAZIONE
12900639;SEMINARIO SISTEMI SOCIALI COMPARATI
12900640;SCIENZE NATURALI
12900641;LABORATORIO DI DIDATTICA LINGUA STRANIERA
12900642;TIROCINIO DI INIZIAZIONE ALL'USO DELL'INFORMATICA
12900643;EDUCAZIONE FISICA
12900644;SCIENZE MOTORIE
12900645;BIOLOGIA ANIMALE
12900646;BIOLOGIA VEGETALE
12900647;STORIA DEI MOVIMENTI RELIGIOSI IN EUROPA ORIENTALE
12900648;STORIA DEL PACIFISMO
12900649;STRATEGIE PER LA COOPERAZIONE
12900650;LABORATORIO DI TEAM-LEADERSHIP
12900651;LABORATORIO DI ABILITA' ALL'AUTOAPPRENDIMENTO E ALL'AUTOVALUTAZIONE
12900652;MANAGEMENT & GOVERNANCE
12900653;LABORATORIO DI INFORMATICA SANITARIA
12900654;SOCIOLOGIA DELL'ORGANIZZAZIONE SANITARIA
12900655;LABORATORIO DI LOGICA E DI TECNICHE MENTALI
12900656;POLITICA ECONOMICA E SISTEMI SANITARI
12900657;MODELLI MANAGERIALI IN SITUAZIONI DI QUASI-MERCATO
12900658;GESTIONE E CERTIFICAZIONE DELLA QUALITA'
12950001;PSICOLOGIA DEL LAVORO (C.A.)
12950002;PSICOLOGIA DELLO SVILUPPO (C.A.)
12950003;LABORATORIO PSICOLOGIA DEI DISTURBI DELLO SVILUPPO E DELLA RIABILITAZIONE
12950004;STRATEGIE DIDATTICHE E TECNOLOGIE PER L'INTEGRAZIONE DEI DISABILI
12950005;NEUROPATOLOGIA DELL'ETA' EVOLUTIVA
12950006;MEDICINA DEL LAVORO
12950007;PSICOLOGIA DELL'ORIENTAMENTO SCOLASTICO E PROFESSIONALE
12950008;ORGANIZZAZIONE E PROGETTAZIONE DEI SERVIZI SOCIO-EDUCATIVI
12950009;METODI STATISTICI PER LA PROGRAMMAZIONE E LA VALUTAZIONE DEI SERVIZI
12950010;ISTITUZIONI GIURIDICHE E MUTAMENTO SOCIALE
12950011;STORIA DEL TEATRO E DELLO SPETTACOLO
12950012;PSICOLOGIA DELL'EDUCAZIONE E DELLA FORMAZIONE
12950013;POLITICA ECONOMICA
12950014;ORGANIZZAZIONE DEI SISTEMI INFORMATIVI E SOCIO-EDUCATIVI
12950015;PSICOLOGIA DEI GRUPPI
12950016;ECONOMIA E GESTIONE DELLE IMPRESE E DEI SERVIZI
12950017;METODI E TECNICHE ORGANIZZATIVE NELLE PROFESSIONI SOCIO-EDUCATIVE
12950018;SEMIOTICA
12950019;STORIA DEL PENSIERO SCIENTIFICO
12950020;DIRITTO DEL LAVORO (C.A.)
12950021;DIRITTO URBANISTICO E DELL'AMBIENTE
12950022;ANTROPOLOGIA DELL'EDUCAZIONE MUSICALE
12950023;PSICOLOGIA DEL LAVORO II (C.A.)
12950024;PEDAGOGIA GENERALE (C.A.)
12950025;ANTROPOLOGIA CULTURALE (C.A.)
12950026;STORIA DELLA PEDAGOGIA (C.A.)
12950027;STORIA DELL'EDUCAZIONE
12950028;STORIA DELLA SCUOLA (C.A.)
12950029;STORIA DELLA LETTERATURA DELL'INFANZIA E DELL'EDITORIA GIOVANILE
12950030;DIDATTICA GENERALE (C.A.)
12950031;PEDAGOGIA SPECIALE (C.A.)
12950032;DIDATTICA SPECIALE (C.A.)
12950033;TECNOLOGIE DELL'ISTRUZIONE (C.A.)
12950034;CRIMINOLOGIA (C.A.)
12950035;PSICOLOGIA SOCIALE (C.A.)
12950036;PSICOLOGIA DINAMICA  (C.A.)
12950037;FILOSOFIA TEORETICA (C.A.)
12950038;FILOSOFIA MORALE (C.A.)
12950039;STORIA DELLA FILOSOFIA (C.A.)
12950040;DOCIMOLOGIA (C.A.)
12950041;STORIA DELLE RELIGIONI
12950042;STORIA DEL PENSIERO SOCIOLOGICO
12950043;DIDATTICA DELLA FILOSOFIA
12950044;FILOSOFIA E TEORIA DEI LINGUAGGI
12950045;PSICOLOGIA DELLA FORMAZIONE
12950046;PSICOLOGIA CLINICA (C.A.)
12950047;NEUROPSICHIATRIA INFANTILE
12950048;PSICHIATRIA
12950049;SOCIOLOGIA GIURIDICA DELLA DEVIANZA E MUTAMENTO SOCIALE
12950050;INFORMATICA (C.A.)
12950051;STATISTICA (C.A.)
12950052;CINEMA, FOTOGRAFIA E TELEVISIONE
12950053;ARCHIVISTICA, BIBLIOGRAFIA E BIBLIOTECONOMIA
12950054;LINGUA E TRADUZIONE LINGUA FRANCESE
12950055;LINGUA E TRADUZIONE LINGUA SPAGNOLA
12950056;PSICOLOGIA DELLO SVILUPPO SOCIO-AFFETTIVO
12950057;LINGUA E TRADUZIONE LINGUA TEDESCA
12950058;DIRITTO DEL LAVORO NELLE PUBBLICHE AMMINISTRAZIONI
12950059;STORIA CONTEMPORANEA (MODULO)
12950060;STORIA CONTEMPORANEA (LABORATORIO)
12950061;FILOSOFIA DELL'EDUCAZIONE (C.A.)
12950062;POLITICA ECONOMICA II
12950063;SEMIOTICA II
12950064;PSICOLOGIA DEI GRUPPI II
12950065;DIRITTO PUBBLICO
12950066;SCIENZA POLITICA
12950067;SOCIOLOGIA E SERVIZIO SOCIALE (C.A.)
12950068;SOCIOLOGIA DEI PROCESSI CULTURALI (C.A.)
12950069;SOCIOLOGIA DELLA FAMIGLIA (C.A.)
12950070;SOCIOLOGIA DELL'ORGANIZZAZIONE (C.A.)
12950071;SOCIOLOGIA DELLE ORGANIZZAZIONI PUBBLICHE E DEI SERVIZI
12950072;LEGISLAZIONE E ORGANIZZAZIONE DEI SERVIZI SOCIALI (C.A.)
12950073;SOCIOLOGIA DEI FENOMENI POLITICI
12950074;POLITICA SOCIALE (C.A.)
12950075;PRINCIPI E TEORIE DEL SERVIZIO SOCIALE
12950076;SOCIOLOGIA ECONOMICA
12950077;SOCIOLOGIA DELL'AMBIENTE E DEL TERRITORIO
12950078;PSICOLOGIA DELLA COMUNICAZIONE (C.A.)
12950079;PEDAGOGIA SPERIMENTALE RICERCA COMPARATIVA INTERNAZIONALE
12950080;PEDAGOGIA INTERCULTURALE (C.A.)
12950081;PEDAGOGIA DELLA COMUNICAZIONE E DELL'ORIENTAMENTO
12950082;PEDAGOGIA DELLE RISORSE UMANE E DELL'ORGANIZZAZIONE
12950083;DIRITTO PRIVATO (C.A.)
12950084;ORGANIZZAZIONE DELLO STATO E DEGLI ENTI PUBBLICI
12950085;DIRITTO PENALE (C.A.)
12950086;DIRITTO PRIVATO COMPARATO
12950087;SOCIOLOGIA DEL DIRITTO (C.A.)
12950088;PSICOLOGIA DEL LAVORO E DELLE ORGANIZZAZIONI
12950089;ECONOMIA APPLICATA
12950090;ECONOMIA E GESTIONE DELL'INNOVAZIONE E DEL MARKETING
12950091;ORGANIZZAZIONE AZIENDALE
12950092;STORIA DELLA CITTA' E DEL TERRITORIO
12950093;STORIA SOCIALE (C.A.)
12950094;STATISTICA SOCIALE (C.A.)
12950095;ORGANIZZAZIONE AZIENDALE E FORMAZIONE CONTINUA
12950096;SOCIOLOGIA DEL LAVORO E DELL'ORGANIZZAZIONE
12950097;STORIA DEL LAVORO
12950098;STORIA DELLE DONNE
12950099;LINGUA E TRADUZIONE FRANCESE
12950100;APPRENDIMENTO PERMANENTE ED EDUCAZIONE DEGLI ADULTI
12950101;STORIA DELL'EDUCAZIONE DI GENERE
12950102;APPRENDIMENTO PERMANENTE ED EDUCAZIONE DEGLI ADULTI II
12950103;PSICOLOGIA DELLE ARTI, DELLA CREATIVITA' E DELL' ESPERIENZA ESTETICA
12950104;FILOSOFIA DELLA DIFFERENZA
12950105;TEORIE E TECNICHE DELL'ORIENTAMENTO FORMATIVO
12950106;COMUNICAZIONE DI RETE PER L'APPRENDIMENTO
12950107;PROGRAMMAZIONE E VALUTAZIONE DELLA FORMAZIONE CONTINUA DEGLI ADULTI
12950108;PEDAGOGIA SPERIMENTALE: ISTRUZIONE A DISTANZA
12950109;FORMAZIONE E MEDIA
12950110;BIBLIOGRAFIA E BIBLIOTECONOMIA (C.A.)
12950111;LETTERATURA ITALIANA CONTEMPORANEA
12950112;LINGUA E TRADUZIONE LINGUA INGLESE
12950113;METODI E TECNICHE NELLE PROFESSIONI SOCIO-EDUCATIVE (II SEM.)
12950114;LABORATORIO LINGUA E TRADUZIONE DELL'INGLESE UTILIZZATO NEL CAMPO DELLA FORMAZIONE
12950115;LABORATORIO MODELLI OPERATIVI DELL'APPRENDIMENTO DEGLI ADULTI
12950116;LINGUA E TRADUZIONE LINGUA INGLESE II
12950117;INDIVIDUALIZZAZIONE E PERSONALIZZAZIONE DEI PERCORSI DELLA FORMAZ. CONTINUA (LABORATORIO)
12950118;FORMAZIONE E MEDIA II
12950119;LABORATORIO PEDAGOGIA SOCIALE
12950120;CINEMATOGRAFIA DOCUMENTARIA
12950121;NEUROPATOLOGIA DELL'ETA' EVOLUTIVA 2
12950122;ORGANIZZAZIONE E PROGETTAZIONE DEI SERVIZI SOCIO-EDUCATIVI 2
12950123;ORGANIZZAZIONE DEI SISTEMI INFORMATIVI E SOCIO-EDUCATIVI II
12950124;ANTROPOLOGIA DELL'EDUCAZIONE MUSICALE II
12950125;DIRITTO PRIVATO II (C.A.)
12950126;ECONOMIA E GESTIONE DELL'INNOVAZIONE E DEL MARKETING II
12950127;ESTETICA (C.A.)
12950128;DIDATTICA GENERALE E DELL'ORIENTAMENTO DI BASE
12950129;DIDATTICA GENERALE (TEORIE E MODELLI DEL COSTRUTTIVISMO)
12950130;ORGANIZZAZIONE E AMMINISTRAZIONE DELLO STATO E DEGLI ENTI PUBBLICI
12950131;TIROCINIO (C.A.)
12950132;STORIA DELLA PEDAGOGIA II (C.A.)
12950133;STORIA DELLE DONNE II
12950134;STORIA DELLA FILOSOFIA II (C.A.)
12950135;STORIA DELLA FILOSOFIA ANTICA (C.A.)
12950136;STORIA CONTEMPORANEA II (C.A.)
12950137;PEDAGOGIA GENERALE, DELLA FORMAZIONE E DELLO SVILUPPO DELLE RISORSE UMANE
12950138;PEDAGOGIA DELLA FORMAZIONE E SVILUPPO DEL CAPITALE UMANO
12950139;STRATEGIE DIDATTICHE E TECNOLOGIE PER L'INTEGRAZIONE DEI DISABILI II
