COD;DES
627;DIRITTO FALLIMENTARE (1^ MOD) V.O
628;DIRITTO PUBBLICO DELL'ECONOMIA V.O
629;DIRITTO TRIBUTARIO V.O
630;ELABORAZ. AUTOM. DATI PER LE DECIS. EC. FIN. V.O
631;MATEMATICA FINANZIARIA II V.O
632;MATEMATICA PER L'ECONOMIA V.O
633;STATISTICA ECONOMICA V.O
634;POLITICHE URBANE E TERRITORIALI V.O
635;TEORIA DELLA PROGETTAZIONE DEL PAESAGGIO V.O
636;SOCIOLOGIA DELL'AMBIENTE V.O
637;ISTITUZIONI INTERNAZIONALI V.O
638;MATEMATICA PER ECONOMISTI V.O
639;GESTIONE FINANZIARIA E VALUTARIA V.O
640;LINGUA INGLESE (IDONEITA') V.O
641;LINGUA SPAGNOLA (IDONEITA') V.O
642;INFORMATICA (IDONEITA') V.O
643;LINGUA FRANCESE (IDONEITA') V.O
644;ECOLOGIA E FONDAMENTI DI BIOLOGIA AMBIENTALE V.O
645;ECONOMIA DELL'AMBIENTE II CORSO V.O
646;SISTEMI ECONOMICI COMPARATI V.O
647;ECONOMIA DEI PAESI IN VIA DI SVILUPPO V.O
648;ECOLOGIA APPLICATA V.O
649;ECOLOGIA APPLICATA V.O
650;GEOGRAFIA REGIONALE V.O
651;MICROECONOMIA AVANZATA V.O
652;ECONOMIA URBANA V.O
653;LINGUA FRANCESE V.O
654;STRUM. E TECN. DI COMUN. VISIVA V.O
655;RILIEVO E ANAL. MONUMENTI ANTICHI V.O
656;LINGUA TEDESCA V.O
657;ESTIMO ED ESER. PROFESSIONALE V.O
658;CARATTERI DISTR. DEGLI EDIFICI (SEM.) V.O
659;SCENOGRAFIA V.O
660;PROGETTAZIONE AMBIENTALE V.O
661;PROGETTO DI STRUTTURE V.O
662;PROBLEMI STRUT. MONUM. EDIL. STOR. V.O
663;STORIA DELLA CITTA' E TERRITORIO V.O
664;LINGUA SPAGNOLA (IDONEITA') V.O
665;TECNOLOGIE DI PROTEZIONE E RISP.AMBIENTALE V.O
666;PERCEZIONE E COMUNICAZIONE VISIVA V.O
667;MERCEOLOGIA V.O
668;STATISTICA I V.O
669;ECONOMIA POLITICA I V.O
670;ECONOMIA POLITICA II V.O
671;RAGIONERIA GENERALE E APPLICATA II V.O
672;POLITICA ECONOMICA V.O
673;ANALISI DEI COSTI V.O.
674;GEOGRAFIA ECONOMICA V.O
675;STATISTICA II V.O
676;DEMOGRAFIA V.O
677;ECONOMIA APPLICATA V.O
678;ECONOMIA AGRARIA V.O
679;ECONOMETRIA V.O
680;ECONOMIA APPLICATA V.O
681;ECONOMIA DELL'AMBIENTE V.O
682;ECONOMIA DELLO SVILUPPO V.O
683;ECONOMIA INTERNAZIONALE V.O
684;ECONOMIA MONETARIA V.O
685;ECONOMIA POLITICA CORSO AVANZATO B V.O
686;ECONOMIA PUBBLICA V.O
687;MICROECONOMIA V.O
688;POLITICA ECONOMICA AGRARIA V.O
689;POLITICA ECONOMICA DELL'AMBIENTE V.O
690;PROGRAMMAZIONE ECONOMICA V.O
691;SCIENZA DELLE FINANZE V.O
692;PROGETTO DI MACCHINE V.O
693;ACUSTICA V.O.
694;MOTORI PER AEROMOBILI V.O
695;CONTROLLO DIGITALE V.O
696;TEORIA DEI FENOMENI ALEATORI V.O
697;COMPILATORI E SISTEMI OPERATIVI V.O
698;CAMPI ELETTROMAGNETICI E CIRCUITI V.O
699;ANALISI NUMERICA CON ELEMENTI DI PROGRAMMAZ. V.O
700;APPLICAZIONE DI GEOMETRIA DESCRITTIVA V.O
702;COMPOSIZIONE ARCHITETTONICA 1 V.O
703;STORIA DELL'ARCHITETTURA 1 V.O
704;STORIA DELL'AFRICA E DELL'ASIA MEDITERRANEA V.O
705;DISEGNO E RILIEVO V.O
706;ISTITUZIONI DI MATEMATICA 2 V.O
707;URBANISTICA I V.O.
708;ST. E MET. DI ANAL. DELL'ARCHITETTURA (SEM) V.O
709;URBANISTICA 2 V.O.
710;ESTIMO ED ESERCIZIO PROFESSIONALE V.O
711;RESTAURO ARCHITETTONICO 1 V.O
712;URBANISTICA (SEM) V.O.
713;STORIA DELL'ARCHITETTURA (FONDAMENTI DI STOR V.O
714;FISICA (SEMESTRALE) V.O
715;STORIA DELL'ARCHITETTURA MODERNA V.O
716;STATICA V.O
717;ISTITUZIONI DI MATEMATICHE 2 V.O
718;DISEGNO DELL'ARCHITETTURA V.O
719;RILIEVO DELL'ARCHITETTURA V.O
720;LAB. PROGET. ARCHITETT. 3 V.O
721;STORIA DELL'ARCHITETTURA CONTEMPORANEA V.O
722;SCIENZA DELLE COSTRUZIONI V.O
723;ARCHITETTURA DEGLI INTERNI (SEMESTRALE) V.O
724;MAT. E PROG. ELEM. COSTRUT. V.O
725;ANAL. DELLE CITTA' E DEL TERR. V.O.
726;FONDAMENTI DI URBANISTICA V.O
727;FISICA TECNICA V.O
728;LAB. COSTRUZ. ARCHIT. 2 V.O
729;LINGUA INGLESE V.O.
730;TECNOLOGIE E MATERIALI PER L'ELETTRONICA V.O
731;ELABORAZIONE NUMERICA DEI SEGNALI V.O
732;SISTEMI DI TELECOMUNICAZIONE V.O
733;SISTEMI INFORMATIVI V.O.
734;IMPIANTI DI ELABORAZIONE V.O
735;ROBOTICA INDUSTRIALE V.O
736;BASI DI DATI V.O
737;INTELLIGENZA ARTIFICIALE V.O
738;LINGUAGGI E TRADUTTORI V.O
739;AEROELASTICITA' APPLICATA V.O.
740;MECCANICA DEL VOLO V.O
741;IMPIANTI MECCANICI V.O
742;FLUIDODINAMICA 2 V.O
743;TURBOMACCHINE V.O.
744;PROGETTAZIONE E COSTRUZIONE DI MACCHINE SPEC. V.O
745;MOTORI A COMBUSTIONE INTERNA V.O
746;IDONEITA' LINGUISTICA V.O
747;ISTITUZIONI DI ECONOMIA V.O
748;FOTONICA V.O
749;STATISTICA E CALCOLO DELLE PROBABILITA' V.O
750;METROLOGIA V.O
751;GEOMETRIA E ALGEBRA 1 V.O
752;FISICA GENERALE 1 V.O
753;FISICA GENERALE 2 V.O
754;LINGUA INGLESE (IDONEITA') V.O
755;ELETTRONICA 2 V.O
756;TERMOFLUIDODINAMICA APPLICATA V.O.
757;METROLOGIA V.O
758;IMPIANTI ELETTRICI V.O
759;CALCOLO DELLE PROBABILITA' V.O
760;GEOMETRIA 2 V.O
761;SICUREZZA DEI SISTEMI DI PRODUZIONE V.O
762;IDRODINAMICA V.O
763;TEORIA DELLE INFRASTRUTTURE VIARIE V.O
764;IDROLOGIA V.O
765;EQUAZIONI DIFFERENZIALI V.O
766;TECNICA DEI LAVORI STRADALI FERROV. E AEROP. V.O
767;METALLURGIA V.O
768;COSTRUZIONE DI AZIONAMENTI OLEODIN. E PNEUM. V.O
769;ECONOMIA APPLICATA ALL'INGEGNERIA V.O
770;RICERCA OPERATIVA V.O
771;ELETTRONICA APPLICATA 1 V.O
772;TEORIA DEI SEGNALI V.O
773;TEORIA DEI SISTEMI V.O
774;CALCOLATORI ELETTRONICI V.O
775;CONTROLLI AUTOMATICI V.O
776;CAMPI ELETTROMAGNETICI I V.O
777;METODI MATEMATICI PER L'INGEGNERIA V.O
778;ELETTRONICA APPLICATA 2 V.O
779;MISURE ELETTRICHE V.O
780;GEOLOGIA APPLICATA V.O
781;TOPOGRAFIA V.O
782;COSTRUZIONI IDRAULICHE V.O
783;MECCANICA DELLE TERRE V.O
784;TECNOLOGIA DELLE COSTRUZIONI 1 V.O
785;TECNICA DELLE COSTRUZIONI 1 V.O
786;ANALISI FUNZIONALE V.O
787;CALCOLO NUMERICO V.O
788;GESTIONE DEI SISTEMI IDRAULICI V.O
789;IDRAULICA MARITTIMA E COSTIERA V.O
790;IMPIANTI SPECIALI IDRAULICI V.O
791;DINAMICA DELLE STRUTTURE V.O
792;INGEGNERIA SANITARIA AMBIENTALE V.O
793;SISTEMI DI TRAZIONE V.O
794;TECNICA DELLE COSTRUZIONI 2 V.O
795;TEORIA DELLE STRUTTURE V.O
796;METODI MATEMATICI PER L'INGEGNERIA V.O
797;ELETTRONICA DEI SISTEMI DIGITALI V.O
798;ANTENNE V.O
799;CAMPI ELETTROMAGNETICI II V.O
800;MISURE A MICROONDE V.O
801;DISPOSITIVI ELETTRONICI V.O
802;STRUMENTAZIONE E MISURE ELETTRONICHE V.O
803;ELABORAZIONE ELETTRONICA DI SEGNALI E IMMAG. V.O
804;OTTICA V.O
805;FISICA DELLO STATO SOLIDO V.O
806;ISTIT. DI CRITICA E METODOLOGIA LETTERARIA V.O
807;LINGUA INGLESE  II V.O.
808;LETTERATURA NORD-AMERICANA V.O
809;STORIA DELLA MUSICA MODERNA E CONTEMPOR. V.O
810;STORIA DELLA MUSICA MODERNA E CONTEMPOR. II V.O
811;STORIA DEL MELODRAMMA V.O
812;FILOSOFIA DEL LINGUAGGIO II V.O
814;LINGUA PORTOGHESE (IDONEITA') V.O
818;STORIA DELLA LETTERATURA PER L'INFANZIA V.O
822;MUSEOLOGIA E STORIA DEL COLLEZIONISMO V.O
823;PALEOGRAFIA E DIPLOMATICA V.O
824;STORIA DEI PARTITI POLITICI V.O
825;STORIA DEL DISEG.,INCIS.E DELLA GRAF. V.O
826;STORIA DELL'ARTE ITALIANA V.O
827;STORIA DELL'ARTE MEDIOEVALE I V.O
828;PSICOLOGIA DINAMICA V.O
829;LETTERATURA INGLE.MODER.E CONTEM.I V.O
830;LINGUISTICA ITALIANA II V.O
831;STORIA DELLA CULTURA ISPANICA II V.O
832;ISTITUZIONI DI STORIA E CRITICA DEL CINEMA V.O
833;ARCHEOLOGIA CRISTIANA III V.O
834;ANALISI MATEMATICA 1 V.O
835;FISICA 1 V.O
836;GEOMETRIA V.O
837;DISEGNO CIVILE V.O
838;FISICA 2 V.O
839;MECCANICA RAZIONALE V.O
840;ELETTROTECNICA V.O
841;FLUIDODINAMICA 1 V.O
842;IDRAULICA V.O
843;ELEMENTI DI AUTOMATICA V.O
844;TECNOLOGIA MECCANICA V.O
845;STORIA DELLA DANZA E DEL MIMO V.O
846;STORIA DELLA DANZA E DEL MIMO I V.O
847;STORIA DELLA DANZA E DEL MIMO II V.O
849;STORIA DELLA DANZA E DEL MIMO III V.O
850;TEORIA E TECN.DEL LING. RADIOT.II V.O
851;TEORIA E TECN.DEL LING.RADIOT.III V.O
852;TEATRO DI ANIMAZIONE I V.O
853;TEATRO DI ANIMAZIONE III V.O
854;TEORIA DELL'INFORMAZIONE V.O
855;TEORIA DELL'INFORMAZIONE I V.O
856;TEORIA DELL'INFORMAZIONE II V.O
857;TEORIA E TECNICA DEI NUOVI MEDIA V.O
858;TEORIA E TECN.DEI NUOVI MEDIA II V.O
859;TEORIA E TECNICA DEI NUOVI MEDIA III V.O
860;TEORIA E STORIA DELLA SCENOGRAFIA I V.O
861;TEORIA E STORIA DELLA SCENOGRAFIA III V.O
862;SEMIOLOGIA DEL CINEMA E DEGLI AUDIOVISIVI V.O
863;SEMIOLOGIA DEL CINEMA E DEGLI AUDIOVISIVI II V.O
864;SEMIOLOGIA DELLO SPETTACOLO V.O
865;SEMIOLOGIA DELLO SPETTACOLO I V.O
866;SEMIOLOGIA DELLO SPETTACOLO III V.O
867;SEMIOTICA DEL TESTO V.O
868;STORIA DEL TEATRO MODERNO E CONTEMPORANEO I V.O
869;STORIA DEL TEATRO MODERNO E CONTEMPORANEO III V.O
870;STORIA DEL TEATRO MEDIOEVALE E RINASC.LE V.O
871;STORIA DEL TEATRO MEDIOEVALE E RINASC.LE II V.O
872;TEORIA E TECN. LING. RADIOFONICO E TELEV. V.O
873;TEORIA E TECN. LING. RADIOFONICO E TELEV. V.O
874;DIDATTICA GENERALE V.O
875;LINGUISTICA GENERALE III V.O
876;LINGUISTICA INFORMATICA V.O
877;LINGUISTICA INFORMATICA I V.O
878;METODOLOGIA E CRITICA DELLO SPETTACOLO V.O
879;METODOLOGIA E CRITICA DELLO SPETTACOLO III V.O
880;ORGANIZZAZIONE ED ECONOMIA DELLO SPETTAC. I V.O
881;ORGANIZZAZIONE ED ECONOMIA DELLO SPETTAC. II V.O
882;PSICOLOGIA DELLA PERCEZIONE
883;PSICOLOGIA DELLA PERCEZIONE I V.O
884;PSICOLOGIA DELLA PERCEZIONE III V.O
885;PSICOLOGIA DELLA COMUNICAZIONE V.O
